业务,客户编码,MDMID,订单编码,订单行号,订单行号代码,结算单编码,结算单行号,收入含税金额,收入不含税金额
零售,601488,10021857,12508816,17,HLB-14ccfcc1-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,16,HLB-14ccfdca-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,15,HLB-14ccfc06-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,14,HLB-14ccfc20-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,13,HLB-14ccfc36-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,12,HLB-14ccfc55-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,11,HLB-14ccfd6e-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,10,HLB-14ccfd56-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,9,HLB-14ccfdf3-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,8,HLB-14ccfceb-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,7,HLB-14ccfd9d-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,6,HLB-14ccfdb4-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,5,HLB-14ccfdde-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,4,HLB-14ccfc83-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,3,HLB-14ccfc6c-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,2,HLB-14ccfca0-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12517923,50,HLB-f3008f84-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,47,HLB-f2e42838-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,44,HLB-f2e42989-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,41,HLB-f2e42743-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,40,HLB-f2e427f6-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,39,HLB-f300901e-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,38,HLB-f2e4255e-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,37,HLB-f3008f5a-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,35,HLB-f2e42592-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,34,HLB-f3008ff7-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,32,HLB-f300906d-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,30,HLB-f3008fab-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,29,HLB-f2e426e5-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,28,HLB-f2e429b6-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,27,HLB-f3008f33-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,26,HLB-f2e428f2-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,24,HLB-f3008f0b-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,23,HLB-f3009095-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,20,HLB-f2e429e0-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,18,HLB-f2e4286c-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,16,HLB-f2e428c5-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,15,HLB-f2e425ff-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,13,HLB-f2e427cb-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,12,HLB-f2e42712-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,10,HLB-f2e425c7-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,8,HLB-f2e42899-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,3,HLB-f2e42771-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12508833,60,HLB-16a9c3b0-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,55,HLB-16ca6269-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,52,HLB-16a9c310-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,50,HLB-16ca62b1-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,49,HLB-16a9c273-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,46,HLB-16a9c2b6-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,45,HLB-16a9c399-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,43,HLB-16a9c352-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,39,HLB-16ca62ce-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,37,HLB-16a9c3c4-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,35,HLB-16ca61f7-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,34,HLB-16a9c3db-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,31,HLB-16ca6231-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,30,HLB-16a9c2e3-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,28,HLB-16a9c3ef-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,27,HLB-16ca6214-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,26,HLB-16ca6299-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,25,HLB-16a9c33b-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,23,HLB-16a9c36f-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,18,HLB-16ca624c-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508833,15,HLB-16a9c325-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
