DMS结算订单,DMS行唯一ID,DMS行下层明细ID,DMS参考订单号码,DMS订单行号,工厂,DRP订单金额,DRP/LTC折扣金额,SD 凭证,交货,开票凭证,处理日期,处理时间,消息文本,信息类型,DMS收入确认回传,消息文本.1
ZRTC20260407044,1-7O45EJ,QC@76223593,12064553,HLB-b35d6532-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.97,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EK,QC@76223507,12064553,HLB-b35d64a1-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EK,QC@76223514,12064553,HLB-b35d6470-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EK,QC@76223530,12064553,HLB-b35d6455-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EK,QC@76223603,12064553,HLB-b35d6488-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.94,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EL,QC@75254568,12064552,HLB-b3385b83-3a13-11f0-8cdb-0c42a112278c,1000.0,-786.04,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EL,QC@75254575,12064552,HLB-b31676e8-3a13-11f0-8cdb-0c42a112278c,1000.0,-786.04,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EL,QC@75254576,12064552,HLB-b3385c2b-3a13-11f0-8cdb-0c42a112278c,1000.0,-786.04,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EL,QC@75254590,12064552,HLB-b31674af-3a13-11f0-8cdb-0c42a112278c,1000.0,-786.04,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EL,QC@75254612,12064552,HLB-b3167557-3a13-11f0-8cdb-0c42a112278c,1000.0,-786.04,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EL,QC@75254631,12064552,HLB-b3385baf-3a13-11f0-8cdb-0c42a112278c,1000.0,-786.04,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EL,QC@75254641,12064552,HLB-b316773a-3a13-11f0-8cdb-0c42a112278c,1000.0,-786.04,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
